"Job","Site","Classification","Asset ID","Description","Location ID","Location","Manufacturer","Model","Serial","AMP FRAME","ASSET UID BREAKER IS INSTALLED IN","BREAKER CONSTRUCTION","BREAKER MOUNT","BREAKER TYPE","GROUND FAULT DELAY (TG(S))","GROUND FAULT PICK UP (PU X IN) (IG)","GROUND FAULT (I2T)","INST (X IN) (II)","KA RATING","LONG TIME DELAY (LTD / TR(S))","LONG TIME PICK UP (LTPU X IN) (IR)","OPERATOR TYPE","SENSOR IN (PLUG RATING)","SHORT TIME (I2T)","SHORT TIME DELAY (TSD(S))","SHORT TIME PICK UP (PU X IR) (LSD)","TRIP MODEL","TRIP TYPE","VERIFIED AGAINST COORDINATION STUDY","VOLTAGE RATING"
"SY6 Breakers — Asset Capture","SY6","BREAKER","1115","SY6-BLK2-2-1_ACB-TRANSFER SWITCH MAIN SUPPLY","SY6-GF-24","SY6-GF-BLK2-SWITCHROOM 5","SCHNEIDER","NW40HA","A2173340030-2","","","","","","","","","","","","","","","","","","","","",""
"SY6 Breakers — Asset Capture","SY6","BREAKER","1116","SY6-BLK2-MSB-2-1_ACB-TRANSFER SWITCH GENERATOR SUPPLY","SY6-GF-24","SY6-GF-BLK2-SWITCHROOM 5","SCHNEIDER","NW40H1","A2173340030-1","","","","","","","","","","","","","","","","","","","","",""
"SY6 Breakers — Asset Capture","SY6","BREAKER","1117","SY6-BLK2-MSB-2-1_ACB-N1-UPS 2-1 INTERNAL BYPASS","SY6-GF-24","SY6-GF-BLK2-SWITCHROOM 5","SCHNEIDER","NW25H1","A2173340018","","","","","","","","","","","","","","","","","","","","",""
"SY6 Breakers — Asset Capture","SY6","BREAKER","1118","SY6-BLK2-MSB-2-1_ACB-N2-UPS 2-1 MAINS","SY6-GF-24","SY6-GF-BLK2-SWITCHROOM 5","SCHNEIDER","NW20H1","A2173440007","","","","","","","","","","","","","","","","","","","","",""
"SY6 Breakers — Asset Capture","SY6","BREAKER","1119","SY6-BLK2-MSB-2-1_ACB-N3-UPS 2-1 WRAP AROUND","SY6-GF-24","SY6-GF-BLK2-SWITCHROOM 5","SCHNEIDER","NW20H1","A2173440008","","","","","","","","","","","","","","","","","","","","",""
"SY6 Breakers — Asset Capture","SY6","BREAKER","1140","SY6-BLK2-MSB-2-3_ACB-INCOMING MAINS","SY6-GF-27","SY6-GF-BLK2-SWITCHROOM 7","SCHNEIDER","NW40H1","A2173430014","","","","","","","","","","","","","","","","","","","","",""
"SY6 Breakers — Asset Capture","SY6","BREAKER","1141","SY6-BLK2-MSB-2-3_ACB-TRANSFER SWITCH MAIN SUPPLY","SY6-GF-27","SY6-GF-BLK2-SWITCHROOM 7","SCHNEIDER","NW40HA","A2173340030-2","","","","","","","","","","","","","","","","","","","","",""
"SY6 Breakers — Asset Capture","SY6","BREAKER","1142","SY6-BLK2-MSB-2-3_ACB-TRANSFER SWITCH GENERATOR SUPPLY","SY6-GF-27","SY6-GF-BLK2-SWITCHROOM 7","SCHNEIDER","NW40H1","A2173430041-1","","","","","","","","","","","","","","","","","","","","",""
"SY6 Breakers — Asset Capture","SY6","BREAKER","1143","SY6-BLK2-MSB-2-3_ACB-N1-UPS 2-3 INTERNAL BYPASS","SY6-GF-27","SY6-GF-BLK2-SWITCHROOM 7","SCHNEIDER","NW25H1","A2173430009","","","","","","","","","","","","","","","","","","","","",""
"SY6 Breakers — Asset Capture","SY6","BREAKER","1144","SY6-BLK1-MSB-2-3_ACB-N2-UPS 2-3 MAINS","SY6-GF-27","SY6-GF-BLK2-SWITCHROOM 7","SCHNEIDER","NW16H1","A2141210001","","","","","","","","","","","","","","","","","","","","",""
